architecture,source,training_resolution,evaluation_resolution,training_shape_zyx,evaluation_shape_zyx,sample_count,integration_steps,roundtrip_relative_error,marginal_ks,variogram_x_nrmse,variogram_y_nrmse,spanning_fraction_abs_error,bimodality_abs_error,connectivity_mae,source_corr_len_cells_zyx,source_report,source_report_sha256,source_artifact,source_artifact_sha256,source_git_commit,derived_git_commit
unet3d,matern,coarse,coarse,7x30x30,7x30x30,128,50,0.0018129809759557247,0.03550277397969753,0.16876464418477297,0.16880742066718202,0.3453125,0.015393699889621248,0.08349609375,1.0x2.0x4.0,results/raw/egg_resolution_unet_matern_train-coarse_eval-coarse.json,9edde648efe60daa5fa12ace893b22c9feca438fcc155348c067369020099209,artifacts/egg_resolution_samples_unet_matern_train-coarse_eval-coarse.h5,d7b66711b71689a3dbbe3b7b7fe65609a2c0e035bc8bc4a33fac4bfa0384ba3e,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
unet3d,matern,coarse,full,7x30x30,7x60x60,128,50,0.0010638858657330275,0.14396912682585028,0.5235196170624439,0.5124262729436898,0.0921875,0.13262645674339252,0.13291015625,1.0x4.0x8.0,results/raw/egg_resolution_unet_matern_train-coarse_eval-full.json,ca1ccb85959cc6f168b9c7c5e261ce80e51f494492d7867d8f0b7c88f3bd4f6f,artifacts/egg_resolution_samples_unet_matern_train-coarse_eval-full.h5,be508fd53ed7930fad73b69d6388473fea2045e90a9b38a35543c6ee2e2c1683,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
unet3d,matern,full,full,7x60x60,7x60x60,128,50,0.00443690363317728,0.019084880612299904,0.11966327105659734,0.11131740928938032,0.053125000000000006,0.026511505399047952,0.09853515625,1.0x4.0x8.0,results/raw/egg_resolution_unet_matern_train-full_eval-full.json,f902cb13cc45df58bf52a79c88488dcda1f6ac76ac7759a7ddf60ae5d6ffb9cf,artifacts/egg_resolution_samples_unet_matern_train-full_eval-full.h5,043d0a86f137f9ec8ed71ef3b7f208554d525a81d7bcec89a90ac0b26a5c7224,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
unet3d,white,coarse,coarse,7x30x30,7x30x30,128,50,0.0003322737175039947,0.013538220426766112,0.05155460121216563,0.02896258443026496,0.2828125,0.010974766240147482,0.07651367187500001,1.0x2.0x4.0,results/raw/egg_resolution_unet_white_train-coarse_eval-coarse.json,7c1cd8a749eede22a12fab8f20850bc4c09f863ec1dffe94c1dce2ab76ad0be8,artifacts/egg_resolution_samples_unet_white_train-coarse_eval-coarse.h5,d2a38ecb512cfc6e112fcd924b149bdcdc8c5a19302f3d1163426f87dede4770,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
unet3d,white,coarse,full,7x30x30,7x60x60,128,50,0.00016309565398842096,0.061086325392119875,0.24340870462673325,0.19049512555993275,0.024999999999999994,0.11216792402730352,0.109130859375,1.0x4.0x8.0,results/raw/egg_resolution_unet_white_train-coarse_eval-full.json,23a33ce7d79c8f6e1f08224df2cdb3df0929b87c3bdba872d962f2719e71dbd2,artifacts/egg_resolution_samples_unet_white_train-coarse_eval-full.h5,6dce619e3515f3bfb71efd154c6ffce870b2e3310330003e7695669c3da40db3,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
unet3d,white,full,full,7x60x60,7x60x60,128,50,0.000381311634555459,0.015209769309545651,0.035074436359851795,0.01316651892377733,0.029687500000000006,0.020527678154822593,0.114013671875,1.0x4.0x8.0,results/raw/egg_resolution_unet_white_train-full_eval-full.json,ddf00381841ebb145feb2a4b25a44d112df667b44df9b9025d4f0539b7c9126c,artifacts/egg_resolution_samples_unet_white_train-full_eval-full.h5,38db2a3d41c5b3cc9969ae77b0a1bba2b44c33016b0144a7b2f6a008562415a4,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
uno3d,matern,coarse,coarse,7x30x30,7x30x30,128,50,0.000377668475266546,0.03307785995442297,0.18213187460634286,0.13650833354863065,0.006249999999999978,0.04793802446943307,0.163525390625,1.0x2.0x4.0,results/raw/egg_resolution_uno_matern_train-coarse_eval-coarse.json,47d0adcfaef267f2a4f2babd240a36af40be4c7565fedf556d28c292dc206912,artifacts/egg_resolution_samples_uno_matern_train-coarse_eval-coarse.h5,310044a99d24e2874c660745459cbd359195c45b53053e5a2210e99568d0c87c,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
uno3d,matern,coarse,full,7x30x30,7x60x60,128,50,0.0003843591548502445,0.062236936883522886,0.3583515903837553,0.33946209452761217,0.103125,0.04908131032628699,0.123681640625,1.0x4.0x8.0,results/raw/egg_resolution_uno_matern_train-coarse_eval-full.json,ba3647adda4867a43afd033432548dc9e81678dfe1c097cc95ad0ab43bf7690a,artifacts/egg_resolution_samples_uno_matern_train-coarse_eval-full.h5,a61f9cf0915752f246678013f02032f13cc69269e8f56f4782e82b1abf0cc018,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
uno3d,matern,full,full,7x60x60,7x60x60,128,50,0.0003761339175980538,0.02777416536409205,0.23523335811412552,0.13560892298017974,0.3453125,0.019186448162433534,0.180078125,1.0x4.0x8.0,results/raw/egg_resolution_uno_matern_train-full_eval-full.json,ee7a28b0172bd29f0e7072988b7dd3c2ac55adb02ae81c8413940bb68f03a60b,artifacts/egg_resolution_samples_uno_matern_train-full_eval-full.h5,fc151427a203d15fcf3671b81ecbc83ab25845fa7fa5e7813028568c3af15356,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
uno3d,white,coarse,coarse,7x30x30,7x30x30,128,50,1.6560228687012568e-05,0.0604562015744769,0.10733492537483524,0.10337016741620632,0.259375,0.03411757382733294,0.08994140625,1.0x2.0x4.0,results/raw/egg_resolution_uno_white_train-coarse_eval-coarse.json,3d738a743391ea33f9c72e2ff4a228f3617db3d6fc0a1836db18990e9b881da2,artifacts/egg_resolution_samples_uno_white_train-coarse_eval-coarse.h5,3cbc553956ac3863bfba02723cd1d12841575fbb0c8fae7d6d81fb3a1f8e48ed,dd7a6719abf345b7db5c4a45c471950e0a84c9ac,a7b71691bc688c58fd82f91eeb3dd62c41284b47
