strategy,category,producer,P10_day_conditional,P50_day_conditional,P90_day_conditional,censored_fraction,truth_day,source_artifact,source_artifact_sha256,derived_git_commit
augmentation,prior,PROD1,330.0,420.0,510.0,0.0,480.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,prior,PROD2,210.0,330.0,480.0,0.0,330.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,prior,PROD3,330.0,420.0,513.0000000000002,0.0,510.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,prior,PROD4,390.0,480.0,570.0,0.0,360.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,raw,PROD1,450.0,480.0,480.0,0.0,480.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,raw,PROD2,300.0,330.0,330.0,0.0,330.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,raw,PROD3,480.0,510.0,510.0,0.0,510.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,raw,PROD4,357.0,360.0,390.0,0.0,360.0,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,pca,PROD1,450.0,480.0,480.0,0.0,480.0,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,pca,PROD2,300.0,330.0,330.0,0.0,330.0,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,pca,PROD3,480.0,510.0,510.0,0.0,510.0,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,pca,PROD4,330.0,360.0,360.0,0.0,360.0,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,fm,PROD1,360.0,420.0,510.0,0.0,480.0,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,fm,PROD2,240.0,300.0,390.0,0.0,330.0,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,fm,PROD3,420.0,510.0,570.0,0.0,510.0,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,fm,PROD4,330.0,360.0,450.0,0.0,360.0,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
