strategy,category,injector,producer,connectivity_probability,threshold_logk,source_artifact,source_artifact_sha256,derived_git_commit
augmentation,prior,INJECT1,PROD1,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT1,PROD2,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT1,PROD3,0.12,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT1,PROD4,0.06,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT2,PROD1,0.09,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT2,PROD2,0.16,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT2,PROD3,0.13,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT2,PROD4,0.16,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT3,PROD1,0.08,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT3,PROD2,0.1,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT3,PROD3,0.08,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT3,PROD4,0.1,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT4,PROD1,0.13,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT4,PROD2,0.23,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT4,PROD3,0.17,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
augmentation,prior,INJECT4,PROD4,0.12,6.8484296798706055,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,5415f66f13b95d42c78f03b79c1e62a987b107ba
