strategy,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit
augmentation,raw,0,140.0835681541066,0.483075352331886,0.2028125,0.7854709168935083,495578.478125,501359.875,506762.934375,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,raw,1,12.097668287520364,0.3467900281685472,0.175625,0.6382921240201507,502727.79375,505965.21875,508966.753125,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,raw,2,4.95332259339299,0.32528202305271803,0.126875,0.4659698795865035,504426.5625,506197.078125,507484.54375,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,raw,3,3.0222766440472606,0.3169814722276915,0.139375,0.5506858920617939,504398.971875,505487.171875,506653.646875,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,raw,4,2.006654971038197,0.3189619624653737,0.1325,0.5718127473150958,504517.8375,505500.71875,506619.815625,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,pca,0,135.2560104362248,0.47943309748734814,0.20468750000000002,0.7811455693897517,496925.51875,501356.0,507570.578125,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,pca,1,11.933877531181963,0.33941719063094217,0.1646875,0.5812166410976103,502670.65625,506139.609375,508998.7375,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,pca,2,4.753611466796561,0.32293004149289145,0.13343750000000001,0.48814275367663507,504392.615625,505865.453125,507376.7125,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,pca,3,2.7577479758815557,0.3230860236794439,0.12843749999999998,0.4560341599848411,503579.240625,504883.15625,506091.153125,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,pca,4,1.8851961452353627,0.3243229753714903,0.11937500000000001,0.47605328283924964,503833.58125,504820.609375,505850.003125,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,fm,0,140.77152172013194,0.4837948788821195,0.203125,0.7853098446956537,495347.15625,501319.828125,506759.0875,True,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,fm,1,69.36416161917326,0.48588375611769213,0.1875,0.7511056407430037,496303.953125,501816.15625,507094.846875,True,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,fm,2,65.9260211061097,0.48352104449824684,0.2115625,0.7227084328313146,494713.365625,500885.1875,506226.8875,True,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,fm,3,63.60638134276323,0.4774354508642241,0.18874999999999997,0.7167751677145118,494292.840625,499922.75,505126.796875,False,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
augmentation,fm,4,61.92530613087948,0.4813266428962442,0.16843750000000002,0.7030757484775555,495305.015625,500046.953125,504164.75,False,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677
