strategy,parameterization,diagnostic,stage,r2_lin,r2_oos_mean,r2_oos_std,n_folds,fold_seed,retained_rank,available_rank,midpoint_epsilon_p10,midpoint_epsilon_p50,midpoint_epsilon_p90,pair_count,pair_seed,latent_relative_shift,field_relative_shift,field_to_latent_shift_ratio,source_artifact,source_artifact_sha256,checkpoint_sha256,derived_git_commit
augmentation,raw,stage_0_linearity_and_decoder,0,1.0,0.30930134818393806,0.04141810961486961,5,20260915,99,99,0.0,0.0,0.0,200,20260915,,,,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,raw,final_stage_linearity_oos,4,0.7848683535252943,-2.8842541493492577,0.7743280368431817,5,20260915,76,99,,,,,,,,,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,pca,stage_0_linearity_and_decoder,0,0.988304495912275,0.3065652984887387,0.05886168605523965,5,20260915,85,85,1.579370572881992e-08,1.59275767815743e-08,1.6109638133732527e-08,200,20260915,,,,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,pca,final_stage_linearity_oos,4,0.7925405183124447,-1.993598029176318,0.3019583054927398,5,20260915,71,85,,,,,,,,,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,stage_0_linearity_and_decoder,0,1.0,-0.48889082470386586,0.23091905664708998,5,20260915,99,99,0.07576999355018302,0.08427427090835801,0.09332094654209999,200,20260915,,,,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,final_stage_linearity_oos,4,0.768926282585432,-2.1300094540129746,0.4396907351971205,5,20260915,67,99,,,,,,,,,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,update_shift,1,,,,,,,,,,,,,0.7324380620181757,0.11564735954576137,0.15789370534227035,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,update_shift,2,,,,,,,,,,,,,0.6011992438036109,0.10199042840205935,0.16964497120255156,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,update_shift,3,,,,,,,,,,,,,0.5069135019851715,0.09381243702724497,0.18506596620499807,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
augmentation,fm,update_shift,4,,,,,,,,,,,,,0.45605977573759093,0.09029091931102738,0.1979804493062314,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,fce38ca803c9c671a852bc7c1d2fdd7a1ff0b7437f2a4bd23395f3f852016783,b7aa67dd445aeb87af0bed4330f177ab27a1c79d
