strategy,variant,parameterization,stage,n_assimilations,ensemble_size,alpha,inflation_reciprocal_sum,mean_normalized_data_misfit,field_step_relative_shift,distance_from_stage0,condition_number,ensemble_data_variance_fraction,effective_ensemble_members,stage0_parameter_count,stage0_prefix_matches_fm_na8,stage0_prefix_relative_fro,configuration_consistent,parameterization_device,source_artifact,source_artifact_sha256,source_report,source_report_sha256,protocol_config,protocol_config_sha256,source_git_commit,derived_git_commit
augmentation,fm,fm,0,4,100,4.0,1.0,140.77152172013197,0.0,0.0,1517.6494864587225,0.9617507554274478,70.78214482650245,100,False,0.0001364141823359214,True,cuda,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,configs/egg/inversion.yaml,80d15353a64cad6550c1893306ec86fc0b26634be4bc37cc2b839f5e60ee622e,ccc14b09e1323023f3f1fd7ec689c2770980b88d,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm,fm,1,4,100,4.0,1.0,69.36416161917326,0.11564735954575504,0.11564735954575504,965.5307820584261,0.9334567756932242,59.08466919688152,100,False,0.0001364141823359214,True,cuda,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,configs/egg/inversion.yaml,80d15353a64cad6550c1893306ec86fc0b26634be4bc37cc2b839f5e60ee622e,ccc14b09e1323023f3f1fd7ec689c2770980b88d,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm,fm,2,4,100,4.0,1.0,65.9260211061097,0.10199042840205436,0.1309723438693101,839.5405047892632,0.9251126676332984,50.48809422856563,100,False,0.0001364141823359214,True,cuda,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,configs/egg/inversion.yaml,80d15353a64cad6550c1893306ec86fc0b26634be4bc37cc2b839f5e60ee622e,ccc14b09e1323023f3f1fd7ec689c2770980b88d,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm,fm,3,4,100,4.0,1.0,63.60638134276323,0.0938124370272405,0.14005182761398458,842.2052666303177,0.9181006959234231,44.677025184617754,100,False,0.0001364141823359214,True,cuda,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,configs/egg/inversion.yaml,80d15353a64cad6550c1893306ec86fc0b26634be4bc37cc2b839f5e60ee622e,ccc14b09e1323023f3f1fd7ec689c2770980b88d,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm,fm,4,4,100,4.0,1.0,61.92530613087948,0.09029091931102322,0.14590215496533815,734.7707185651906,0.9017608421800798,38.139153946996466,100,False,0.0001364141823359214,True,cuda,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,configs/egg/inversion.yaml,80d15353a64cad6550c1893306ec86fc0b26634be4bc37cc2b839f5e60ee622e,ccc14b09e1323023f3f1fd7ec689c2770980b88d,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm_na8,fm,0,8,100,8.0,1.0,140.74651074242593,0.0,0.0,759.0115756315255,0.9263199590220098,70.78338551075592,100,True,0.0,True,cpu,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,configs/egg/inversion_na8.yaml,88ce8640a6bf895fe75182d6dcb84888224aaadc4f14ef7811ec4dba8d156989,8f77479b8851c67f6614f954cf189f25534190ea,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm_na8,fm,1,8,100,8.0,1.0,71.84093364856477,0.11059223720179796,0.11059223720179796,451.27693153677717,0.8813126327306364,61.37879812418596,100,True,0.0,True,cpu,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,configs/egg/inversion_na8.yaml,88ce8640a6bf895fe75182d6dcb84888224aaadc4f14ef7811ec4dba8d156989,8f77479b8851c67f6614f954cf189f25534190ea,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm_na8,fm,2,8,100,8.0,1.0,70.30360497127182,0.10093544082815062,0.1279048751803755,496.02882363993825,0.8740955411915455,52.8403213353066,100,True,0.0,True,cpu,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,configs/egg/inversion_na8.yaml,88ce8640a6bf895fe75182d6dcb84888224aaadc4f14ef7811ec4dba8d156989,8f77479b8851c67f6614f954cf189f25534190ea,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm_na8,fm,3,8,100,8.0,1.0,42.33156626106138,0.09264907207424773,0.13902695128831044,289.5188521462476,0.8240795485112836,45.76293449415796,100,True,0.0,True,cpu,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,configs/egg/inversion_na8.yaml,88ce8640a6bf895fe75182d6dcb84888224aaadc4f14ef7811ec4dba8d156989,8f77479b8851c67f6614f954cf189f25534190ea,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
augmentation,fm_na8,fm,4,8,100,8.0,1.0,25.565790032842884,0.08449500583299413,0.14489456527871078,137.30016900398795,0.7280947066154488,41.377456202381794,100,True,0.0,True,cpu,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,configs/egg/inversion_na8.yaml,88ce8640a6bf895fe75182d6dcb84888224aaadc4f14ef7811ec4dba8d156989,8f77479b8851c67f6614f954cf189f25534190ea,f9ab3f0f7c8fd4a5811f8106e203e7c025005106
